stdno,allowedunits,currentunitsenlisted
3311-40158,21,4
6428-78169,20,6
5230-43061,21,3
3804-71906,17,0
3140-07984,20,3
1798-40210,21,6
4096-47845,21,2
0452-85594,18,6
8260-95108,19,3
2449-22676,21,7
7962-71464,20,0
8229-27957,18,6
1611-00838,21,9
8684-35164,20,9
8206-98741,21,4
6826-21063,20,0
3342-42953,19,3
7511-96189,20,0
7982-94981,19,9
3355-38183,21,10
8031-18436,20,9
6974-92458,21,2
7681-41409,21,5
3940-20213,19,6
3647-43845,18,3
2731-85480,19,6
6593-49467,16,0
9854-54283,20,0
9495-29783,19,3
9590-02837,20,0
5193-69869,20,3
7081-91213,20,0
8824-47249,18,9
2700-01146,18,0
5928-82951,20,5
2791-18313,19,6
1360-78499,18,0
9555-76059,21,9
9827-19863,21,15
9377-96897,16,5
2923-47012,19,4
4842-28493,18,6
8508-36463,20,0
7803-28715,21,12
8439-04508,19,0
2799-81203,21,4
9758-75416,21,7
4387-96023,18,9
4167-43374,21,6
6123-67065,19,0
1422-00827,16,0
8300-36855,21,4
1540-48145,18,0
3232-78997,21,0
8608-91261,21,9
2374-64286,19,0
7456-52955,16,0
1716-51859,20,3
1888-78786,18,3
4689-54043,21,9
2397-62190,21,6
0573-65948,19,0
0642-61893,17,3
2641-06975,19,0
5148-16694,19,6
3978-77146,21,3
7507-84300,21,0
3290-80446,21,0
1248-28173,21,8
6290-78414,19,14
4747-39138,19,0
0865-17292,18,9
5312-89888,18,0
2260-51974,18,3
9081-79825,19,0
4435-27814,18,0
7681-95529,18,6
4549-21602,15,3
0728-30526,19,6
6151-50211,20,3
2951-62924,19,3
5844-90211,20,4
0335-63331,21,4
9068-58949,21,0
4004-71757,19,0
5292-31329,21,2
4346-62913,19,6
4370-74253,19,9
0281-54753,16,6
2829-05443,20,6
2745-37879,21,4
4717-06292,17,6
9185-78621,16,6
8909-82083,21,7
3260-25940,19,0
6721-77366,19,6
5174-53605,18,0
5945-03600,18,0
3830-01798,18,6
3002-01535,21,3
1520-19255,18,3
2642-22216,19,4
4737-85752,18,6
8153-27481,18,9
5904-95097,18,6
6631-47947,21,7
3847-36857,16,0
6719-35342,19,6
8378-90299,19,0
4154-05241,17,9
6571-48647,21,4
2029-72785,18,3
3951-64773,20,3
9621-47822,22,6
9806-42712,18,0
2970-35574,20,3
7152-38303,20,3
1474-17221,19,9
3543-60219,18,3
8404-39413,18,9
6146-79909,19,3
6353-64584,18,3
0291-79374,17,0
1161-10940,21,6
9573-41275,15,0
8338-54939,19,2
7569-72271,21,12
6926-52609,21,12
9240-47268,21,3
6798-56789,16,3
5920-86793,18,14
9185-59277,19,4
3106-30291,18,0
6769-20574,22,6
9600-40246,21,4
1889-42376,19,0
7051-78945,19,0
5803-20717,18,0
1635-73993,19,0
4742-44085,21,4
5061-67662,19,3
3628-46273,18,6
9792-02272,21,3
5442-39458,21,6
3526-50804,20,3
4019-13407,18,3
8807-37310,20,0
4884-54256,19,1
6188-24139,17,3
9250-71477,18,0
4126-21036,18,6
7669-99384,19,0
1127-49699,18,7
8768-75653,21,3
1022-10551,21,0
9503-50181,21,0
0216-67709,20,6
2800-15171,17,9
0363-01217,18,3
4587-07227,18,3
8163-28881,17,0
0171-86035,18,6
0241-96772,16,5
4617-37887,21,9
3936-35778,20,9
0929-67581,20,0
2707-87330,21,3
7321-31841,16,0
0275-47385,19,3
2015-03705,21,3
5234-21283,21,2
6774-35307,21,0
8219-43168,19,3
2050-82467,19,0
0935-42160,19,7
2831-51448,21,12
9576-60401,19,0
8596-58593,18,9
4251-00757,20,6
2050-75819,21,3
3873-45470,18,6
3563-34594,22,3
8278-03087,21,6
5281-00544,16,3
0411-14658,19,3
6483-50523,18,4
5591-63765,16,6
9090-44933,19,10
5975-93831,18,3
2172-62774,21,2
8756-02334,21,9
9083-72753,19,0
7819-21839,18,9
9855-69573,18,0
9923-44405,16,3
3587-52821,18,7
2047-30245,20,3
8494-11788,20,9
9036-00740,21,0
5414-24607,18,6
9112-07424,21,9
3440-77370,18,12
6180-98917,18,0
1911-65393,19,3
4233-20765,18,0
9261-57684,19,3
4929-22703,21,0
4632-96611,19,4
5332-38479,19,3
5184-30417,16,12
4824-27522,19,3
4168-66356,21,3
0946-81460,18,3
7297-76350,18,6
6828-97188,21,6
6147-27178,19,9
3035-20304,21,0
8039-55587,21,6
0071-33206,19,4
0192-36460,21,5
9867-80276,21,5
9515-96347,21,3
5342-99779,21,3
3453-12327,17,5
