9235-89382,20
8141-99449,18
5138-76814,21
5052-63310,18
3702-09770,18
6379-26585,20
8864-58815,21
5381-21857,18
2887-86731,18
8650-73200,18
4503-28544,20
0639-83431,18
8722-92570,20
2989-70754,20
5747-27806,21
6694-41293,18
9400-43584,17
4883-39863,18
5047-91665,18
9762-31040,20
3410-36470,20
0528-76327,18
4929-40045,20
5536-57258,18
3782-63472,18
7540-29830,20
5175-47737,19
7275-93591,18
4543-77669,18
8212-62118,20
1355-97622,21
9101-94801,18
1689-01364,18
9282-64900,20
2082-03260,18
2757-82764,21
4436-40058,18
1544-74598,21
5514-60264,18
2355-89180,18
0028-60179,18
0520-03795,18
2163-66031,22
7543-12853,18
9234-35458,19
5769-96286,16
9893-97514,20
6965-08130,18
5933-59399,18
8653-47925,18
9990-83503,21
6152-18819,18
5288-62456,18
9415-39011,18
0637-80296,20
2964-21710,18
1168-53719,21
1426-72701,20
2288-28897,18
2334-19695,21
3362-96300,21
4151-89314,19
0399-59978,18
3426-09837,18
1445-83744,18
3945-48036,18
3015-60930,21
3298-03448,18
0161-17625,20
1579-27494,21
5854-10644,18
4112-82819,18
3947-09698,21
4173-82364,18
0354-27310,18
3695-18607,20
0327-68358,18
9616-06721,17
7996-37780,21
7401-52685,18
3663-76600,18
6344-64120,21
5546-50184,18
0574-69024,21
1286-56356,20
0914-13468,16
5343-34711,18
6121-64641,18
7838-98894,18
9572-66793,18
9807-43675,21
3640-22208,18
9614-68715,18
9297-93934,18
6117-89356,21
2913-16568,21
1879-49501,18
9317-29531,18
9721-48558,18
1316-73969,18
8230-30607,21
2480-44213,21
3366-87245,21
7427-23691,21
6255-24856,21
3678-01257,21
7681-26496,18
3083-57425,18
0706-18243,19
4900-55959,21
1474-40913,18
8824-47873,16
4769-55482,18
1196-46482,19
8838-86884,18
7489-54617,18
8410-95483,21
6860-74319,20
8118-93406,18
7110-26049,21
3045-46150,19
4247-56881,18
0704-95602,18
0673-41606,18
0967-11215,21
8534-12659,18
7379-57852,21
1453-62481,19
8365-48346,19
6570-00479,21
5981-38085,21
1047-99236,21
7364-57984,21
0729-54753,18
6654-06780,18
8173-21715,18
6613-32737,16
1019-46940,18
4708-10627,21
8154-39393,19
4675-90596,21
1711-32002,18
8351-60171,12
1215-01859,18
0887-45708,18
1080-82701,16
0376-63494,18
0116-99148,21
6442-85442,21
7242-75179,18
8948-58238,21
9602-34319,18
3062-06758,21
7909-97453,21
0277-01514,18
4285-33116,16
6388-90334,18
6492-57760,21
6554-56152,18
1435-02135,20
3153-83023,16
0057-71435,18
7745-05887,21
6856-09765,18
2209-68175,21
0761-79247,18
1158-54561,16
2814-48299,19
7082-41409,18
5653-12507,21
8117-66622,18
1835-65021,21
6090-80773,18
5532-18371,18
7392-06173,21
3195-33476,18
6464-76510,21
3822-92012,18
7207-75365,18
5425-88619,21
1366-48890,19
9085-20548,21
9974-24513,18
8669-21560,19
1676-47778,16
5380-04810,18
6478-80210,19
2902-86007,18
2389-70887,21
0171-16359,18
2828-57907,18
9355-28599,18
7196-72115,20
0843-94151,18
0903-34102,20
3883-59345,18
1984-71332,18
6318-46365,18
0063-88708,18
6193-47896,21
4468-52877,18
3745-99232,21
0693-36412,21
4936-06535,21
9373-97423,18
1818-61858,18
2667-86551,18
1224-82552,18
4350-66099,21
5979-78355,18
9570-15701,18
5710-15656,19
9895-45755,19
2645-71376,18
8594-00350,18
2444-07238,19
2703-71893,21
4563-51588,18
5753-99808,18
7808-74978,20
1330-68048,18
9900-66648,21
3200-04693,21
2316-99578,18
1758-42106,19
2371-88360,19
9530-18852,21
6083-19488,18
7023-92896,21
6421-66250,21
7920-98366,18
7997-39319,18
0657-89055,18
4536-50056,19
3910-16714,18
9820-92064,18
9138-82096,21
3789-60337,19
2019-94337,18
3345-73520,18
2575-13960,21
5258-01886,18
3466-69816,17
3455-98478,19
6718-61655,18
9191-55648,19
9653-97948,18
1411-67604,19
8368-31619,19
9640-25547,18
1010-45520,20
4252-42973,19
3837-14740,19
9788-61729,18
6246-16162,19
7910-29112,18
2811-98111,18
0863-81803,18
8333-06589,18
7051-75414,20
9245-17453,19
0619-17301,19
9090-08775,21
4845-87770,18
2357-28490,21
5982-07017,18
6172-12161,20
5713-16247,18
8481-01530,18
4729-99612,18
8895-73586,18
3339-11956,19
8716-18081,19
5149-55597,19
1853-21943,18
3205-15851,21
1812-30556,21
3259-63215,19
0807-31461,18
0950-72864,18
2841-02895,19
4236-78575,18
4628-92180,18
1408-24655,18
2139-10373,21
8597-81286,20
1668-04016,21
7298-61595,18
3159-69756,19
8872-57472,19
7489-54299,18
9289-37288,21
7930-15403,18
9966-78268,21
7347-62165,19
3204-61696,21
9331-25878,18
5093-26252,23
9018-13063,18
0881-25032,18
2565-23071,18
6032-06795,18
0476-12978,19
2090-03797,21
4712-46032,18
0271-09201,18
9921-09917,18
7216-95164,21
1129-23926,18
3751-19372,20
5933-60028,21
6749-03032,18
7587-81611,21
1549-20900,18
6702-78508,18
0216-30078,18
1825-81055,18
4159-22391,20
7272-39301,21
9193-80975,18
6429-61224,19
5655-43459,21
4323-03501,21
7626-48717,19
5645-07223,18
1231-53252,21
1010-80061,21
3176-98187,21
4565-49189,21
4591-56917,21
0570-87951,18
1974-38886,21
7633-28929,21
3116-27840,18
3065-84211,18
9406-10865,21
4382-50646,20
4207-03664,18
7597-46948,18
9272-24143,18
6450-70431,18
7993-12773,18
1307-67635,21
3601-18449,19
8981-13111,21
5482-14426,18
5386-31883,18
3182-35444,19
9274-47293,20
4606-17033,19
