stdno,allowedunits,currentunitsenlisted
2009-34344,15,6
2014-72641,18,18
2011-21577,17,0
2009-49067,20,14
2011-09213,16,0
2011-46651,16,6
2009-55600,17,0
2006-44347,17,0
2011-12840,18,0
2012-16985,21,21
2008-01818,16,3
2003-68080,19,0
2007-50394,19,0
2011-47801,18,18
2010-06803,19,3
2009-19292,19,3
2010-01311,18,0
2009-41609,16,0
2011-97691,21,6
2010-60019,16,0
2010-19877,19,0
2003-54432,16,0
2008-02342,17,0
2011-35916,19,0
2009-21243,19,0
2010-57073,18,1
2011-47935,21,19
2009-30133,19,5
2009-23763,19,3
2011-46450,19,0
2010-58486,16,3
2008-08707,19,1
2005-45611,19,0
2010-51777,16,3
2008-07234,18,1
2008-22776,16,0
2014-70590,17,17
2011-03476,17,14
2010-18069,18,3
2007-48673,19,0
2010-01375,19,3
2011-48709,21,3
2007-17678,19,0
2010-45492,16,3
2014-01961,22,0
2010-36644,18,6
2010-19883,18,1
2011-97563,15,4
2010-42242,18,7
2007-62878,19,4
2010-30059,17,0
2003-56765,17,3
2010-57345,17,6
2010-48587,16,3
2009-19802,18,4
2008-31707,19,3
2012-97801,15,6
2009-19497,18,0
2008-32813,18,0
2007-47542,17,3
2011-53056,16,9
2009-30768,19,0
2008-96328,19,3
2010-28938,19,0
2006-59823,16,0
2010-56874,16,3
2009-17156,19,0
2011-65219,19,3
2006-14843,10,3
2010-44788,18,0
2011-65114,16,0
2004-45888,17,0
2005-03674,16,2
2011-51061,19,3
2010-19941,19,0
2009-96873,16,3
2010-04469,18,0
2010-20434,16,0
2006-70629,19,3
2010-60010,18,1
2011-62113,18,0
2011-41005,16,7
2006-35624,19,6
2006-38432,19,6
2011-48316,19,3
2007-63001,19,0
2008-53546,16,0
2008-50597,17,0
2007-42580,19,0
2010-42395,16,9
2011-24487,19,7
2006-35558,19,0
2008-08689,16,3
2010-57082,19,0
2010-44845,21,12
2011-30229,16,3
2008-31731,17,0
2011-53766,18,0
2010-19895,19,0
2008-37353,16,3
2009-60830,19,3
2011-08968,16,0
2009-56424,19,3
2010-36488,16,3
2009-08270,19,3
2008-24309,18,1
2005-74811,19,9
2010-29570,19,3
2009-23355,16,0
2010-57084,15,0
2005-51348,19,0
2009-30197,16,6
2011-20317,16,6
2008-45517,18,0
2008-36944,10,8
2010-18264,18,1
2009-04284,18,3
2009-21756,16,0
2009-38351,20,9
2009-35019,19,3
2008-23331,13,0
2006-61850,16,0
2012-97803,15,0
2011-62971,18,0
2010-23343,19,0
2010-42529,18,1
2011-22419,18,11
2011-44364,19,6
2009-25995,16,3
2010-52359,18,1
2010-40780,17,3
2011-11132,17,3
2010-00386,17,6
2008-00609,20,3
2009-46416,18,4
2012-07314,21,6
2013-21903,17,16
2010-41748,18,1
2008-36723,18,3
2011-00388,16,3
2010-00302,18,1
2009-37814,16,0
2006-03757,17,0
2008-19247,18,9
2010-10696,18,9
2010-16193,17,0
2009-17591,18,0
2011-62100,19,0
2010-70012,18,0
2010-36532,19,3
2010-31066,15,0
2008-12837,19,0
2014-23280,22,3
2011-21568,13,0
2011-11831,19,10
2010-53500,19,8
2010-00249,15,3
2010-39256,18,3
2006-30473,16,3
2009-19738,19,3
2011-45376,18,18
2008-07434,19,1
2010-40034,19,5
2010-10091,19,9
2012-97805,15,0
2010-41563,18,4
2008-19116,21,9
2008-69926,19,0
2007-65540,16,3
2009-17164,16,0
2010-52799,19,0
2010-00250,16,9
2011-48410,16,0
2009-38593,18,1
2013-49998,18,18
2013-49997,18,18
2010-38534,19,0
2009-96813,18,4
2014-98704,18,17
2013-06595,18,17
2010-97035,19,1
2010-29962,16,6
2011-09058,21,4
2011-48564,15,3
2009-26211,19,0
2010-41965,16,6
2011-46686,17,3
2009-18786,19,0
2011-08642,12,0
2010-39244,17,6
2010-42560,18,1
2011-03663,19,0
2008-17587,18,3
2011-45433,17,3
2014-68959,20,19
2012-64647,18,12
2011-58530,20,14
2010-43960,17,3
2008-48725,17,0
2011-04653,17,9
2010-42177,17,0
2014-72304,22,6
2005-10423,19,0
2006-00394,15,0
2005-44542,18,0
2010-20073,19,1
2009-26618,19,0
2011-21399,24,6
2009-03788,19,4
2011-25314,21,0
2010-36495,16,0
2010-01701,16,5
2009-96560,18,6
2011-26556,18,6
2009-18232,18,4
2008-08551,17,3
2010-19279,16,3
2011-48493,15,3
2004-68535,19,0
2007-16450,19,6
2010-14560,16,0
2010-41303,17,3
2010-00261,16,0
2010-56978,18,1
2011-01871,12,0
2009-17511,19,13
2009-26307,15,0
2011-24581,15,3
2009-28376,17,6
2010-29471,18,1
2005-47679,18,0
2008-52310,19,0
2010-56922,17,3
2010-12222,16,0
2008-38073,18,1
2009-20149,16,0
2010-10658,17,7
2011-62560,18,3
2011-63048,21,3
2010-42634,19,3
2008-09918,17,0
2010-08325,18,1
2010-41884,18,0
2006-38370,10,1
2006-32631,16,6
2009-23440,19,0
2010-42041,18,3
2008-53310,16,6
2007-49527,19,0
2012-97818,15,0
2006-35568,19,3
2011-48338,19,1
2010-57107,18,1
2011-37519,18,0
2011-63101,18,9
2010-39275,18,4
2010-31189,16,3
2010-34211,19,3
2011-16455,15,0
2010-44662,21,0
2011-38256,18,0
2008-08298,18,0
2010-41390,12,0
2010-41351,19,3
2011-43784,15,0
2009-24220,19,0
2011-00173,13,6
2010-41665,18,1
2009-10061,10,0
2009-51603,19,0
2009-60864,19,0
2014-08736,18,18
2005-41234,17,0
2010-57283,15,0
2005-42752,19,0
2007-20564,19,6
2011-20632,16,0
2010-55381,18,0
2008-37370,15,12
2010-43645,16,0
2010-51758,19,6
2010-37786,19,8
2010-43857,22,13
2010-97061,15,0
2010-52680,19,0
2009-60269,18,6
2005-47018,18,0
2009-35454,16,0
2011-50661,12,0
2010-43389,18,1
2009-11222,17,6
2012-97821,15,4
2010-16589,19,3
2003-54348,19,0
2010-32198,17,3
2010-14097,19,0
2005-45421,19,0
2006-39610,20,8
2009-62484,19,4
2007-55623,10,3
2007-59750,19,0
2010-29491,16,3
2010-00662,18,4
2009-50732,18,4
2009-37833,10,0
2011-62093,17,9
2014-72695,21,21
2009-07214,18,3
2010-43123,18,0
2010-42939,16,6
2009-42904,16,0
2008-37704,19,0
2013-98237,15,0
2007-14430,17,3
2008-06711,17,0
2011-22193,12,3
2008-39853,19,0
2009-17370,10,0
2010-21079,19,0
2010-40139,16,0
2010-43587,18,1
2011-47807,16,0
2011-58752,12,9
2007-32803,10,0
2010-43272,19,0
2007-40168,18,0
2011-22039,18,3
2010-59903,16,0
2011-19633,15,3
2009-47366,18,9
2010-07619,18,3
2007-06952,19,0
2010-19834,19,1
2009-48467,16,3
2004-40838,19,1
2011-56717,18,0
2007-22438,19,3
2009-27055,19,0
2011-26956,12,0
2009-18174,18,0
2010-41736,19,0
2011-03466,12,0
2010-53803,18,15
2010-40080,16,6
2010-11619,18,0
2007-51909,16,0
2010-33142,17,3
2010-42978,16,0
2007-53816,18,3
2008-09883,13,3
2009-19602,18,3
2011-33958,19,12
2011-64359,18,0
2011-38539,18,11
2011-56830,16,0
2011-25010,17,3
2011-38803,18,0
2010-19935,10,0
2011-97535,18,6
2010-27459,10,0
2011-16903,16,0
2013-06531,18,15
2004-65845,10,3
2009-96576,15,3
2007-19581,18,4
2011-39008,13,0
2009-09751,18,1
