stdno,allowedunits,currentunitsenlisted
2014-40584,18,18
2014-98816,20,17
2011-48770,18,18
2013-22567,18,18
2013-15433,18,18
2012-10596,19,19
2013-25678,18,18
2014-62940,17,16
2014-72710,18,18
2010-04452,20,12
2013-60783,18,18
2014-00786,18,15
2014-02777,21,21
2014-20523,17,15
2012-37905,21,15
2012-59795,18,18
2014-99163,18,18
2012-97790,21,20
2012-10831,21,18
2014-27146,18,18
2012-10766,19,19
2014-62409,17,15
2007-36118,18,0
2014-98831,16,16
2011-10184,18,12
2008-23531,21,3
2014-02874,18,18
2013-21636,20,20
2014-50840,18,18
2011-36848,20,6
2013-03069,18,12
2014-05405,20,19
2014-20627,20,19
2014-71975,18,18
2011-62107,21,15
2013-05607,21,21
2012-18167,18,13
2012-29033,18,18
2012-23684,21,20
2011-08755,20,18
2011-64375,21,15
2011-97500,21,16
2013-60256,18,18
2013-35100,20,18
2014-28936,19,19
2012-19384,21,19
2011-15727,17,12
2012-13729,21,6
2013-52110,21,18
2014-14178,17,15
2014-73909,18,18
2012-60883,18,18
2012-18954,19,12
2013-98196,15,3
2010-16788,18,16
2012-36162,18,0
2011-58073,18,15
2013-34338,20,20
2012-97979,18,13
2010-65432,16,15
2010-31032,19,5
2013-98197,18,18
2013-65271,18,18
2011-04579,21,12
2011-27915,20,16
2013-74846,21,18
2012-61096,19,18
2013-31240,18,18
2012-65512,20,20
2011-12015,19,3
2009-41307,19,6
2012-32215,21,12
2013-70843,21,21
2011-48317,18,6
2012-76359,19,19
2011-37148,16,15
2011-47257,17,6
2012-27768,18,18
2006-71441,16,3
2012-22547,18,13
2014-71417,18,16
2014-19362,18,18
2012-67728,18,18
2014-33125,17,17
2005-46350,21,19
2013-29181,18,18
2011-35788,19,10
2013-43528,18,18
2014-56915,18,18
2013-48668,20,20
2014-56124,18,16
2009-29824,18,0
2012-43989,19,17
2012-00584,19,13
2011-21545,21,19
2014-72661,19,17
2012-42545,19,18
2014-52759,19,18
2012-38465,20,6
2011-38477,20,16
2011-97467,18,6
2012-18861,21,4
2011-53112,21,19
2012-26666,19,18
2014-09072,19,19
2013-07426,19,16
2012-17911,18,18
2009-17146,18,9
2010-18484,17,12
2013-22363,18,18
2013-06310,21,21
2012-14915,19,17
2009-96637,21,7
2013-30624,18,18
2013-74155,23,15
2009-17227,21,14
2013-60981,20,18
2008-05808,19,0
2008-65809,20,8
2012-51195,19,18
2011-60023,19,15
2014-44249,19,19
2013-08210,18,18
2014-70641,20,20
2013-68050,21,21
2013-56274,18,18
2012-97792,18,18
2013-48344,18,17
2011-38435,16,0
2013-06208,23,20
2012-13026,18,18
2014-22349,17,17
2013-51621,18,15
2012-38374,19,19
2013-47460,19,17
2013-15660,21,21
2010-40485,21,9
2011-12166,20,10
2010-43434,20,16
2010-56517,17,15
2014-71810,20,20
2014-10100,20,20
2012-98191,18,18
2011-11890,19,4
2013-36048,21,19
2011-21489,19,13
2014-30760,18,18
2014-05805,17,17
2014-57061,20,20
2011-11318,21,17
2008-05307,18,7
2014-71922,21,21
2013-29949,18,15
2013-52824,21,21
2012-32912,20,18
2012-40378,19,12
2014-43245,18,18
2009-24086,18,13
2011-48455,21,20
2011-02027,18,12
2014-02868,19,19
2012-56199,18,12
2014-27658,21,20
2007-52763,20,20
2014-16788,19,19
2011-38479,19,10
2013-08760,21,21
2014-71939,20,20
2014-57013,18,18
2014-34940,20,19
2013-27110,18,15
2013-68204,18,18
2014-05733,21,21
2013-06434,21,21
2011-01202,21,3
2014-72736,19,16
2013-43276,21,21
2014-50972,18,18
2013-07716,21,18
2014-72372,19,19
2014-35528,18,18
2012-19796,19,19
2014-62852,18,18
2013-60886,21,15
2014-42338,20,18
2012-19931,18,15
2014-60211,17,14
2012-53720,19,18
2009-02192,16,7
2014-50296,18,15
2012-17040,21,19
2012-27631,18,18
2013-01541,18,15
2012-48163,19,19
2014-09474,19,19
2014-98763,19,17
2013-53200,19,17
2012-20908,21,0
2013-03166,21,19
2012-62171,21,15
2011-19902,20,12
